😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|मजाकिया
🥉;कांस्य पदक;कांस्य|तीसरा|पदक
⚽;फ़ुटबॉल;खेल|गेंद|फुटबॉल|मेस्सी|सॉकर|सॉकर बॉल
⚾;बेसबॉल;खेल|गेंद
🥎;सॉफ़्टबॉल;खेल|खेलते|खेलना|गेंद|बॉल|सॉफ़्ट बॉल|स्पोर्ट
🏀;बास्केटबॉल, बास्केटबॉल गेंद;खेल|गेंद|बास्केटबॉल|हूप
🏐;वॉलीबॉल;गेंद|गेम
🏈;अमेरिकी फ़ुटबॉल;अमेरिकी|खेल|गेंद|फुटबॉल
🏉;रग्बी गेंद;खेल|फुटबॉल|बॉल|रग्बी|सॉकर|सॉकर गेंद
🎾;टेनिस;खेल|गेंद|टेनिस रैकेट और बॉल|बॉल
🥏;फ़्लाइंग डिस्क;खेल|पार्क|फ़्रीज़बी|सर्वश्रेष्ठ
🎳;बाउलिंग;खेल|गेंद|गेम|बाउलिंग बॉल
🏏;क्रिकेट;गेंद|गेम|बल्ला|बॉल
🏑;फ़ील्ड हॉकी;खेल|स्टिक|हॉकी
🏒;आइस हॉकी स्टिक और पक;आइस हॉकी|खेल|गेम|स्टिक
🥍;लाक्रोस;खेल|खेलना|गोल|टेनिस|फ़िट|बॉल|रविवार|लॉन टेनिस|स्टिक
🏓;टेबल टेनिस;पिंग पॉंग|बेट|बैट|बॉल
🏸;बैडमिंटन, रैकेट;गेम|बैडमिंटन|रैकेट|शटलकॉक
🥊;मुक्केबाज़ी के दस्ताने;खेल|दस्ताने|मुक्केबाजी
🥋;मार्शल आर्ट की वर्दी;कराटे|खेल|जूडो|ताइक्वांडो|मार्शल आर्ट|वर्दी
🥅;गोल नेट;खेल|गोल|नेट|लक्ष्य
⛳;छेद में झंडा;गोल्फ़|गोल्फ़ का झंडा|छेद|होल
⛸️;आइस स्केट, स्केट;आइस स्केट|बर्फ|स्केट
🎣;मछली पकड़ने की रॉड और मछली;खेल|मछली|मछली पकड़ना|मनोरंजन|रॉड
🤿;ग़ोताख़ोरी वाला मास्क;गोताखोरी|ग़ोताख़ोरी|गोताखोरी वाला मास्क|मास्क|स्कूबा|स्कूबा का मास्क
🎽;रनिंग शर्ट;खेल|दौड़ना|पट्टी|पट्टे वाली रनिंग शर्ट|भागना
🎿;स्की, स्की और बूट;खेल|बर्फ|बूट|स्की|स्की और बूट
🛷;बर्फ़गाड़ी;बर्फ|स्लेज
🥌;कर्लिंग स्टोन;खेल|चट्टान
🎯;लक्ष्य पर निशाना;गेम|चांदमारी|निशाना|लक्ष्य|सीधा निशाना
🪀;यो-यो;खिलौना|खेल|यो यो|लट्टू
🪁;पतंग;उड़ान|उत्तरायण|काइट|पतंगबाज़ी|मकर संक्रांति|संक्रांत
🔫;पानी की पिस्तौल;औज़ार|पिस्टल|बंदूक|रिवॉल्वर|हथियार
🎱;बिलियर्ड;आठ गेंद|गेंद|गेम
🔮;क्रिस्टल बॉल, भविष्य देखना;क्रिस्टल|क्रिस्टल बॉल|गेंद|भविष्य|भविष्य देखना
🪄;जादू की छड़ी;जादू|जादूगर|जादूगरनी|जादूगरी|डंडी|मंत्र|मैजिक|सम्मोहन
🎮;वीडियो गेम, कंट्रोलर;कंट्रोलर|खेल|गेम|मनोरंजन|वीडियो गेम
🕹️;जॉयस्टिक, गेम, वीडियो गेम;खेल|गेम|जॉयस्टिक|वीडियो गेम
🎰;स्लॉट मशीन;कैसीनो|गेम|जुआ|स्लॉट
🎲;पासे, डाइस;गेम|डाइस|डाई|पासा|पासे|मनोरंजन
🧩;पज़ल गेम;इंटरलॉकिंग|गुँथना|छूट|जिग सॉ|जिग्सॉ|टुकड़ा|टुकड़े|पज़ल|पहेली|संकेत
🧸;टेडी बेअर;क्यूट|खिलौना|खिलौने|जन्मदिन|टेडी बेयर|टेडीबियर|टॉय|प्यार|भव्य|भालू|स्टफ़ टॉय|स्टफ़्ड
🪅;पिन्याटा;उत्सव|जश्न|त्योहार|पार्टी|मैक्सिकन|समारोह|सिंको दे मायो
🪩;मिरर बॉल;चमक|डांस|डिस्को|नृत्य|पार्टी|बॉल|शीशे वाली बॉल
🪆;नेस्टिंग गुड़ियों का समूह;खिलौना|गुड़िया|डमी|नेस्टिंग|पपेट|बेबी डॉल|रशियल डॉल|रूस|रूसी गुड़िया
♠️;हुकुम का पत्ता;कार्ड|ताश
♥️;पान का पत्ता;कार्ड|ताश|पाँन का पत्ता|लाल दिल
♦️;ईंट का पत्ता;कार्ड|ताश
♣️;चिड़िया का पत्ता;कार्ड|ताश
♟️;शतरंज का प्यादा;प्यादा
🃏;जोकर कार्ड;कार्ड|खेल|जोकर|ताश का पत्ता
🀄;माहजोंग लाल दैत्य;टाइल|दैत्य|माहजोंग|लाल
🎴;फूल वाला पत्ता;कार्ड|गेम|ताश का पत्ता|फूल|हानाफूडा
🎭;प्रदर्शन कला, मुखौटे;कला|नकाब|प्रदर्शन|मनोरंजन|मास्क|मुखौटा|मुखौटे
