😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|হাসি
🌠;উল্কা;তারা|পতিত|মহাকাশ|শুটিং
🌌;আকাশগঙ্গা;আবহাওয়া|মহাকাশ|মিল্কিওয়ে
☁️;মেঘ;আবহাওয়া
⛅;মেঘের পিছনে সূর্য;আবহাওয়া|মেঘ|মেঘাচ্ছন্ন|সূর্য
⛈️;মেঘের সাথে বিদ্যুতের ঝলক ও বৃষ্টি;আবহাওয়া|বজ্রপাত|বৃষ্টি|মেঘ|মেঘের গর্জন
🌤️;অল্প মেঘের পিছনে সূর্য;আবহাওয়া|মেঘ|মেঘ রোদ্দুর|সূর্য
🌥️;বেশি মেঘের পিছনে সূর্য;আবহাওয়া|মেঘ|মেঘের আড়ালে সূর্য|সূর্য|সূর্যের উঁকি মারা
🌦️;মেঘের সাথে বৃষ্টির পিছনে সূর্য;আবহাওয়া|বৃষ্টি|মেঘ|সূর্য
🌧️;বৃষ্টির সাথে মেঘ;আবহাওয়া|বৃষ্টি|মেঘ
🌨️;বরফের সাথে মেঘ;আবহাওয়া|ঠান্ডা|তুষারপাত|মেঘ
🌩️;বিদ্যুতের ঝলকের সাথে মেঘ;আবহাওয়া|বজ্রপাত|বিদ্যুৎ চমক|মেঘ|মেঘের সাথে বজ্রপাত
🌪️;ঘূর্ণিঝড়;আবহাওয়া|মেঘ
🌫️;কুয়াশা;আবহাওয়া|মেঘ
🌬️;হাওয়ার মুখ;আবহাওয়া|বাতাস|মুখ|মেঘ|হাওয়া|হাল্কা হাওয়া
🌀;সাইক্লোন;আবহাওয়া|টাইফুন|বিভ্রান্তিকর|হতবুদ্ধি
🌈;রামধনু;আবহাওয়া|বৃষ্টি|রংধনু
🌂;বন্ধ ছাতা;আবহাওয়া|ছাতা|পোশাক|বৃষ্টি
☂️;ছাতা;আবহাওয়া|পোশাক|বৃষ্টি
☔;ছাতাতে বৃষ্টির ফোঁটা লাগা;আবহাওয়া|ছাতা|পোশাক|ফোঁটা|বৃষ্টি|বৃষ্টি পড়ে টাপুর টুপুর
⛱️;মাটিতে ছাতা;আবহাওয়া|ছাতা|বৃষ্টি|সূর্য
⚡;বেশি ভোল্টেজ;ঝটকা|বিদ্যুৎ|বিদ্যুৎ চমক|বিপদ|বৈদ্যুতিক|ভোল্টেজ
❄️;তুষারকণা;আবহাওয়া|ঠান্ডা|তুষারপাত
☃️;তুষারমানব;আবহাওয়া|ঠান্ডা|তুষারপাত|বরফের মানুষ
⛄;তুষার ছাড়াই তুষারমানব;আবহাওয়া|ঠান্ডা|তুষারপাত|তুষারমানব
☄️;ধূমকেতু;মহাকাশ
🔥;আগুন;গরম|শিখা|সরঞ্জাম
💧;ফোঁটা;আবহাওয়া|কমিক|ঘাম|চোখের জল|জলের ফোঁটা|ঠান্ডা|পানি
🌊;জল তরঙ্গ;আবহাওয়া|জল|ঢেউ|পানি|মহাসাগর|সমুদ্রের ঢেউ|সার্ফার
🎃;জ্যাকো লণ্ঠন;উদযাপন|কুমড়ো|জ্যাক|লণ্ঠন|হ্যালোইন
🎄;ক্রিসমাস ট্রী;উদযাপন|ক্রিসমাস|গাছ
🎆;আতস বাজি;উদযাপন
🎇;ফুলঝুড়ি;আতশবাজি|উদযাপন|দ্যুতি|বাজি
🧨;বাজি;আগুন|আগুনের শিখা|আতশবাজি|আলো|জ্বলন্ত আগুন|ডিনামাইট|বিস্ফোরক|বোমা
✨;দ্যুতি;*|উজ্জ্বল|জ্বলজ্বলে|ঝিকিমিকি|তারা
🎈;বেলুন;উদযাপন|জন্মদিন|বার্থডে
🎉;পার্টি পপার;অনুষ্ঠান|ইয়াহু|উদযাপন|টাডা|পপার|পার্টি|হুড়রে
🎊;কনফেট্টি বল;উদযাপন|কনফেট্টি|বল
🎋;তানাবাতা ট্রী;উদযাপন|গাছ|জাপানি|ব্যানার
🎍;পাইনের সজ্জা;উদযাপন|গাছ|জাপানি|পাইন|বাঁশ
🎎;জাপানি পুতুল;উৎসব|উদযাপন|জাপানি|পুতুল
🎏;কার্প স্ট্রিমার;আলোকরশ্মি|উদযাপন|কার্প
🎐;উইন্ড চাইম;উদযাপন|ঘণ্টা|হাওয়া
🎑;চাঁদ দেখার উৎসব;অনুষ্ঠান|উদযাপন|চন্দ্র দর্শন|চাঁদ
🧧;লাল খাম;অর্থ|উপহার|কপাল|ঘুষ|বকশিশ|লাই সি|লাল|লাল খামে বকশিশ|সৌভাগ্য|হং বাও
🎀;রিবন;উদযাপন
🎁;মোড়কে থাকা উপহার;উদযাপন|উপহার|জড়ান|বাক্স
🎗️;অনুস্মারক রিবন;অনুস্মারক|উদযাপন|ফিতা|রিবন
🎟️;প্রবেশের টিকিট;টিকেট|প্রবেশ
🎫;টিকিট;প্রবেশ
🎖️;মিলিটারি পদক;উদযাপন|পদক|পুরস্কার|মিলেটারির মেডেল|মেডেল|সামরিক
🏆;ট্রফি;পুরস্কার
🏅;খেলার পদক;পদক|পুরস্কার|সোনা|স্বর্ণপদক
🥇;প্রথম স্থানের পদক;পদক|প্রথম|ফার্স্ট|মেডেল|মোনার|সোনার পদক
🥈;দ্বিতীয় স্থানের পদক;দ্বিতীয়|মেডেল|রুপো|সেকেন্ড
🥉;তৃতীয় স্থানের পদক;তৃতীয়|থার্ড|ব্রোঞ্জ|মেডেল
⚽;ফুটবল;বল
⚾;বেসবল;বল
🥎;সফ্টবল;আন্ডারআর্ম|খেলা|খেলাধুলা|খেলার জিনিস|গ্লোভ|দস্তানা|বল|সফটবল
🏀;বাস্কেটবল;বল|হুপ
🏐;ভলিবল;খেলা|বল
🏈;আমেরিকান ফুটবল;আমেরিকান|কার্যকলাপ|খেলাধুলা|ফুটবল|বল|সুপারবল
🏉;রাগবি ফুটবল;ফুটবল|বল|রাগবি
🎾;টেনিস;টেনিস খেলার ব্যাট|বল
🥏;ফ্লাইং ডিস্ক;আল্টিমেট|উড়ন্ত ডিস্ক|চূড়ান্ত|ডিস্ক|ফ্রিসবি
🎳;বোলিং;খেলা|বল|স্ট্রাইক
🏏;ক্রিকেট;খেলা|বল|ব্যাট
🏑;মাঠে হকি;খেলা|বল|মাঠ|লাঠি|হকি|হকি স্টিক
🏒;আইস হকি স্টিক এবং পুক;আইস হকি স্টিক|খেলা|পাক|পুক|বরফ|লাঠি|হকি
🥍;ল্যাক্রোসি;খেলা|খেলাধুলা|গোল|বল|ব্যাট বল|স্টিক
🏓;পিং পঙ্গ;খেলা|টিটি|টেবিল টেনিস|পিং পং|পিংপং|বল|ব্যাট
🏸;ব্যাডমিন্টন;খেলা|টেনিস খেলের ব্যাট|বার্ডআই|শাটলকক
🥊;বক্সিং গ্লাভস;খেলা|গ্লাব্স|ঘুষি|বক্সিং
🥋;মার্শাল আর্টের উইনিফর্ম;ইউনিফর্ম|উইনিফর্ম|কারাটে|খেলা|জুডো|তাইকুন্ডো|মার্শাল আর্টের
🥅;গোল নেট;খেলা|গোল|গোল করার নেট|নেট|বল
⛳;গর্তের মধ্যে পতাকা;গর্ত|গলফ
⛸️;বরফে স্কেট করা;বরফ|বরফে স্কেটিং|স্কেট
🎣;মাছ ধরার বর্শি;বর্শি|মাছ|মাছ ধরার ছিপ|মেরু
🤿;ডুবুরির মুখোশ;খেলা|ডাইভিং|স্কুবা|স্নরকেলিং
🎽;দৌড়ানোর জামা;উত্তরীয়|চলমান|জামা
🎿;স্কি;তুষারপাত
🛷;স্লেজ গাড়ি;তুষার|বরফ|স্নো|স্লেজ
🥌;কার্লিং স্টোন;কারলিং|খেলা|গেম|পাথর|বরফ|রক
🎯;সরাসরি হিট করা;খেলা|চোখ|ডার্ট|বুল|বুল্সআই|লক্ষ্য|হিট
🪀;য়ো-য়ো;ইয়ো-ইয়ো|ওঠানামা করা|খেলনা|খেলা|ফ্ল্যাকচুয়েট
🪁;ঘুড়ি;উড়ে যায়|ওড়া|খেলা|মাঝ আকাশে
