😀;کھل کے ہنستا چہرہ;چہرہ|کھلا|منہ|ہنسی
🛣️;موٹر وے;راستہ|راہ|سڑک|شاہ راہ
🛤️;ریلوے ٹریک;ٹرین|ریل کی پٹیاں|ریلوے
🛢️;تیل کا ڈرم;تیل|ڈرم
⛽;فیول پمپ;پمپ|پیٹرول پمپ|فیول|گیس
🛞;پہیہ;ٹائر|دائرہ|کار|گاڑی|گھومنا
🚨;پولیس کار کی لائٹ;پولیس|سرخ روشنی|سواری|کار|لائٹ|ہوالدار
🚥;افقی ٹریفک لائٹ;اشارہ|ٹریفک|لائٹ
🚦;عمودی ٹریفک لائٹ;اشارہ|ٹریفک|چوراہا|رکاوٹ|رکیں|سگنل|لائٹ
🛑;رکنے کا نشان;آٹھ زاویے|رکنا|نشان
🚧;تعمیر;رکاوٹ|ممانعت
⚓;اینکر;آلہ|بحری جہاز
🛟;تیرنے والی گول ٹیوب;بچانا|تیرنا|حفاظت|زندگی بچانے والا|زندگی محفوظ کرنے والا|سلامتی
⛵;بادبانی کشتی;بادبان|سمندر|کشتی
🛶;چھوٹی کشتی;چھوٹی|ڈونگی|کشتی|کنو
🚤;انجن والی کشتی;آسائش|تالاب|تیز بحری سواری|سفر|سواری|کشتی
🛳️;مسافر بحری جہاز;سواری|کشتی|مسافر
⛴️;فیری;بحری سواری|سواری|کشتی
🛥️;موٹر بوٹ;جہاز|سواری|موٹر والی کشتی
🚢;بحری جہاز;ٹائٹینک|جہاز|سوار|سواری
✈️;ہوائی جہاز;تیز ہوائی سفر|جیٹ|سواری|سوری|ہوائی سواری
🛩️;چھوٹا ہوائی جہاز;ایرو پلین|چھوٹا|سواری|ہوائی جہاز
🛫;ہوائی جہاز کی روانگی;روانگی|ہوائی جہاز
🛬;ہوائی جہاز کی آمد;آمد|ہوائی جہاز
🪂;پیراشوٹ;اسکائی ڈائیو|پیرا سیل|جہاز سے ڈائیو کرنا|سکائی ڈائیو|ہینگ گلائیڈ
💺;سیٹ;بیٹھک|فرنیچر|کرسی|نشست
🚁;ہیلی کاپٹر;سواری|ہوائی سفر
🚟;معلق ریلوے;ریلوے|لٹکا ہوا ریل|معلق
🚠;پہاڑی کیبل وے;اسکی کرنے والوں کے لیے ہوا میں لٹکری ہوئی نشست|برف رانی|پہاڑ|پہاڑوں کے درمیان آمد و رفت کا رسیوں سے لٹکا ہوا خانہ یا نشست|تختہ رانی|کیبل
🚡;ہوائی ٹرام وے;ٹرام وے|روپ وے|کیبل|گاڑی|گونڈولہ|ہوائی
🛰️;سیٹلائٹ;آسمان|خلا|خلائی جہاز|سیارہ
🚀;راکٹ;آسمان|خلا|خلائی جہاز|خلائی سفر|راکیٹ چھوڑنا|سفر
🛸;اڑن تشتری;اڑتی رکابی|اڑن طشتری|باہری دنیا کا|خلائیہ|نامعلوم اڑن تشتری
🛎️;بیل ہاپ بیل;بیل|بیل ہاپ|ہوٹل
🧳;سامان;پیکنگ|سامان، پیکنگ، سفر، سوٹ کیس، رولر بیگ|سفر
⌛;ریت گھڑی;آلہ|ریت|گھڑی|وقت
⏳;ریت گھڑی میں گرتی ہوئی ریت;انتظار|اوقات|ریت|گرتی ہوئی ریت کے ساتھ ریت گھڑی|گھڑی|وقت
⌚;گھڑی;ٹائم|کلاک|وقت
⏰;الارم کلاک;آلہ|الارم|انتظار|دیر|کلاک|گھڑی|گھنٹے|منتظر|وقت
⏱️;اسٹاپ واچ;گھڑی
⏲️;ٹائمر کلاک;ٹائمر|گھڑی|وقت
🕰️;مینٹل پیس کلاک;آلہ|ٹیبل کلاک|گھڑی|وقت
🕛;بارہ کا وقت;12:00|بارہ|گھڑی
🕧;بارہ بج کر تیس منٹ;12:30|بارہ|تیس|ساڑھے بارہ بجے|گھڑی
🕐;ایک بجے کا وقت;۱|1:00|ایک|گھڑی
🕜;ایک بج کر تیس منٹ;1:30|ایک|تیس|گھڑی
🕑;دو بجے کا وقت;۲ بجے|2:00|دو|گھڑی
🕝;دو بج کر تیس منٹ;2:30|تیس|دو|گھڑی
🕒;تین بجے کا وقت;3:00|تین|گھڑی
🕞;تین بج کر تیس منٹ;3:30|تیس|تین|ساڑھے تین|گھڑی
🕓;چار بجے کا وقت;۴|۴ بجے|4:00|چار|گھڑی
🕟;چار بج کر تیس منٹ;4:30|تیس|چار|گھڑی
🕔;پانچ بجے کا وقت;۵|5:00|پانچ|گھڑی
🕠;پانچ بج کر تیس منٹ;5:30|پانچ|تیس|ساڑھے پانچ|گھڑی
🕕;چھ بجے کا وقت;۶|6:00|چھ|چھے|گھڑی
🕡;چھ بج کر تیس منٹ;6:30|تیس|چھ|ساڑھے چھے|وقت
🕖;سات بجے کا وقت;۷|7:00|سات|سات بجے|گھڑی
🕢;سات بج کر تیس منٹ;07:30|تیس|سات|ساڑھے سات بجے|گھڑی
🕗;آٹھ بجے کا وقت;08:00|۸|۸:۰۰|آٹھ|گھڑی
🕣;آٹھ بج کر تیس منٹ;08:30|۸:۳۰|آٹھ|تیس|ساڑھے آٹھ بجے|گھڑی
🕘;نو بجے کا وقت;09:00|۹|۹:۰۰|گھڑی|نو
🕤;نو بج کر تیس منٹ;09:30|۹:۳۰|تیس|ساڑھے نو|گھڑی|نو
🕙;دس بجے کا وقت;10:00|دس|گھڑی
🕥;دس بج کر تیس منٹ;10:30|تیس|دس|ساڑھے دس بجے|گھڑی
🕚;گیارہ بجے کا وقت;11:00|گھڑی|گیارہ
🕦;گیارہ بج کر تیس منٹ;۱۱ بجے|11:30|تیس|ساڑھے گیارہ|گھڑی|گیارہ
🌑;نیا چاند;اماس|چاند|سیاہ|قدرت|ماہ نو|موسم
🌒;بڑھتا ہوا ہلال چاند;چاند|خواب|سپنے|قدرت|ماہ|ماہ تاب|موسم|ہلال
🌓;پہلے کوارٹر کا چاند;چاند|کوارٹر|موسم
🌔;آدھے سے زیادہ بڑھتا ہوا چاند;بڑھتا ہوا|چاند|موسم
🌕;مکمل چاند;چاند|مکمل|موسم
🌖;گھٹتا ہوا آدھے سے زیادہ چاند;چاند|گھٹتا ہوا|موسم
🌗;آخری کوارٹر کا چاند;چاند|کوارٹر|موسم
🌘;گھٹتا ہوا ہلال چاند;چاند|موسم|ہلال
🌙;ہلال چاند;آسمان|چاند|خلا|رمضان|قدرت|موسم|ہلال
🌚;نئے چاند کا چہرہ;چاند|چہرہ|موسم
🌛;پہلے کوارٹر کا چاند مع چہرہ;چاند|چہرہ|موسم
🌜;آخری کوارٹر کا چاند مع چہرہ;چاند|چہرہ|خواب|قدرت|قمر|ماتاب|ماہ|موسم|ہلال
🌡️;تھرمامیٹر;سردی|گرمی|موسم
☀️;سورج;آفتاب|آفتابِ روشن|تپش|تمازت|حدت|خورشید|دھوپ|دھوپ سینکنا|دھوپ کھانا|شمس|صاف|قدرت|کرنیں|موسم
🌝;چہرے والا پورا چاند;چہرہ|خلا|صاف|مکمل|موسم
🌞;چہرے والا سورج;آفتاب|آفتابِ روشن|چہرہ|خلا|روز|روشن دن|روشنی|سورج|شمس|صاف|قدرت|موسم|نور
🪐;حلقہ دار سیارہ;آسمان|آسمانی سیارے|خلا|زحل|سیارہ|سیارہ زحل کے زیر اثر|فلکیات
⭐;ستارہ;روشن تارہ|سفید میڈیم ستارہ|فلکیات|قدرت
🌟;چمکتا ستارہ;جیت|چمک|چمکتا|رات|روشن ستارہ|ستارہ|شب|فطح|قدرت|نجم|نجمہ|نور
🌠;شہابِ ثاقب;ٹوٹا تارہ|رات|ستارہ|شب|قدرت|گرتا
🌌;کہکشاں;انجم|تارے|خلا|ستارے|فلک|قدرت|کواکب|نجوم
☁️;بادل;موسم
⛅;بادلوں کے پیچھے چھپا سورج;آسمان|ابر آلود آسمان|بادل|سورج|شمس|قدرت|موسم
⛈️;گرج چمک اور بارش والے بادل;بادل|بادوباراں|بارش|بجلی|برق|زور کی بارش|طوفان|قدرت|گرج برس|موسم
🌤️;چھوٹے بادل کے پیچھے چھپا سورج;بادل|سورج|موسم
🌥️;بڑے بادل کے پیچھے چھپا سورج;بادل|سورج|موسم
🌦️;بارش کے بادل پیچھے چھپا سورج;بادل|بادلوں کے پیچھے چھپا سورج اور بارش|بارش|سورج|موسم
🌧️;بادل اور بارش;بادل|بارش|موسم
🌨️;بادل اور برفباری;بادل|برف|موسم
🌩️;بادل اور گرج چمک;بادل|بجلی کی چمک|موسم
🌪️;جھکڑ;آندھی|بادل|تیز ہوا|طوفان|قدرت|موسم
🌫️;کُہر;بادل|موسم
🌬️;منہ سے ہوا نکالتا چہرہ;بادل|چہرہ|موسم|ہوا
🌀;گرداب;چکر|چکرانا|طوفان|موسم
🌈;قوس قزاح;بارش|دھنک|دو جنسا|رنگارنگ|فخر|قدرت|موسم|ہم جنس پرست
🌂;بند چھتری;اشیاء|بارش|برسات|چھتری|چھتڑی|چیز|ساون|سایہ|موسم
☂️;چھتری;بارش|لباس|موسم
☔;بارش کے قطروں والی چھتری;بارش|چھتڑی|لباس|موسم
⛱️;زمین میں گڑی چھتری;بارش|چھتڑی|سورج|موسم
⚡;ہائی وولٹیج;بجلی|برق|خطرہ|طوفان|قدرت|والٹیج|وولٹیج
❄️;برف کے گالے;برف|ٹھنڈ|موسم
☃️;برف کا آدمی;برف|ٹھنڈ|موسم
⛄;برف کے بغیر برف کا آدمی;برف|ٹھنڈ|موسم
☄️;قطبی ستارہ;خلا
🔥;آگ;آتش|آلہ|اوزار|جلانا|جلنا|شعلہ|قدرت|گرم|گرمی|لو
💧;قطرہ;آنسو|اشک|بوند|پانی کی بوند|پسینہ|پسینے کا قطرہ|پسینے کی بوند|ٹھنڈ|قدرت|قطرہٌ اشک|موسم
🌊;پانی کی لہر;اپھنتا سمندر|پانی|ترنگ|دریہ|ساحل|سمندر|قدرت|کناگوا|لہر|موج|موجِ دریہ|موجِ ساحل|موسم
🎃;کدو کی لالٹین;اشیاء|جشن|جیک|چیز|خوشی منانا|کدو|لالٹین|ہالووین
🎄;کرسمس کا درخت;جشن|درخت|قدرت|کرسمس
🎆;آتشبازی;پٹاخے|تفریح|جشن|خوشی|دھماکہ|روشنی|مزہ
🎇;پھلجری;آتش بازی|پھول جھری|جشن|جیت|دیوالی
🧨;پٹاخہ;آتش بازی|دھماکا خیز|ڈائنا مائٹ، دھماکہ خیز، پٹاخہ، آتش بازی، پاپ، پھٹنا، آگ، شعلہ، روشنی|ڈائنامیٹ
✨;چمکتے ستارے;براقی مظاہرہ|جادو|چمک|ستارہ|شرارہ|شرارے|شعبدہ|قدرت|نور|نورانیت
🎈;غبارہ;بلون|پھگّا|جشن|خوشی|سال گرہ|مزہ
🎉;پارٹی کے پٹاخے;پارٹی|پٹاخے|جشن|سال گرہ
🎊;رنگین کاغذ کے بالز;بالز|پارٹی|جشن|رنگین کاغذ|ناچ گانا
🎋;تنابتا درخت;بانس|بینر|جاپانی|جشن|درخت|شجر|قدرت
🎍;پائن سے سجاوٹ;پائن|پودا|جاپانی|جشن|قدرت
🎎;جاپانی گڑیاں;تہوار|جاپان|جشن|گڑیا
🎏;ہوائی جرابیں;جاپان|جشن|ہوا
🎐;ہوائی جھنکار;جھنکار|گھنٹی|ہوا
🎑;چاند کی رسم;جشن|چاند|چاند دیکھنے کی رسم|دیدارِ ماہ|رسم|قدرت|ماہتاب
🧧;سرخ لفافہ;تحفہ|تحفہ، خوس قسمت، ہونگ باؤ، لائی سائی، رقم، سرخ کاغذ|خوش قسمتی|رقم|لائی سی|ہونگ باؤ
🎀;ربن;تحفہ|جشن|گلابی ربن
🎁;کاغذ میں لپٹا تحفہ;تحفہ|جشن|سال گرہ کا تحفہ|کاغذ میں لیٹا تحفہ|لپٹا ہوا
🎗️;یاددہانی کا ربن;جشن|ربن|یاددہانی
🎟️;داخلہ ٹکٹ;ٹکٹ|داخلہ
🎫;ٹکٹ;تقریب|داخلہ
🎖️;فوجی میڈل;انعام|فوج|میڈل
🏆;ٹرافی;انعام
🏅;اسپورٹس میڈل;اسپورٹس|انعام|میڈل
🥇;گولڈ میڈل;اول|گولڈ|میڈل|نمبر
🥈;سلور میڈل;دوسرا|سلور|میڈل|نمبر
🥉;برونز میڈل;برونز|تیسرا|میڈل|نمبر
⚽;فٹبال;کھیل|گیند|میدان
⚾;بیس بال;امریکہ|بال|کھیل
🥎;نرم گیند;بازو کے نیچے|دستانہ|گیند
🏀;باسکٹ بال;باسکٹ|بال|کھیل
🏐;والی بال;بال|کھیل
🏈;امریکی فٹبال;امریکی|فٹبال|کھیل
🏉;رگبی فٹبال;امریکی|رغبی|فٹبال|کھیل
🎾;ٹینس;بال|کھیل
🥏;اڑتی ہوئی ڈسک;انتہائی
🎳;باؤلنگ;بال|بوتلیں|کھیل
🏏;کرکٹ;بال|بیٹ|کھیل
🏑;فیلڈ ہاکی;بال|کھیل|میدان|ہاکی
🏒;آئس ہاکی اسٹک اور پک;اسٹک|برف|پک|کھیل|ہاکی
🥍;لکراس;چھڑی|گول|گیند|گیند، مقصد، چھڑی، سپورٹس، کھیل، لیکروس
🏓;ٹیبل ٹینس;بال|ٹیبل|ریکٹ|کھیل
🏸;بیڈمنٹن;ریکٹ|شٹل|کھیل|نیٹ
🥊;باکسنگ کے دستانے;باکسنگ|دستانے|کھیل
🥋;مارشل آرٹس کا یونیفارم;کراٹے|کھیل|مارشل آرٹس|یونیفارم
🥅;گول نیٹ;سوکر|فٹبال|کھیل|گول|نیٹ|ہاکی
⛳;گڑھے میں جھنڈا;کھیل|گالف|گیند|میدان میں سوراخ
⛸️;آئس اسٹیک;اسٹیک|برف
🎣;فشنگ پول;پانی|ڈنڈا|شکار|مچھلی
🤿;غوطہ خوری کا ماسک;سکوبا|سنورکلنگ|غوطہ خوری
🎽;دوڑنے کی شرٹ;جاگنگ|شرٹ|واکنگ
🎿;اسکائیز;اسکائی|برف
🛷;برف گاڑی;اسلیڈ|اسلے|برف|برف کی گاڑی|برف میں سفر|بے پہیوں کی گاڑی
🥌;کرلنگ پتھر;برف پر کھیلا جانے والا کھیل جس میں پتھر کو برف پر سرکایا جاتا ہے۔|پتھر|سنگ|کرلنگ|کھیل
🎯;براہ راست نشانہ;تیر اندازی|کھیل|نشانہ|ہدف
🪀;یو یو;جھولنا|کھلونا
🪁;پتنگ;اڑنا|ہوا میں بلند ہونا
🔫;پستول;بندوق|پانی کی پستول|تفنگ|طمنچہ|ہتھیار
🎱;بلیئرڈز;آٹھ|بال|کھیل
🔮;کرسٹل بال;بال|پری|پری کی داستان|پیش گوئی|جادو|داستان|شعبدہ|فینٹسی|قسمت|کرسٹل|مستقبل
🪄;جادوئی چھڑی;جادو|جادوگر|جادوگرنی
🎮;ویڈیو گیم;کھیل|ویڈیو
🕹️;جوائے اسٹک;کنٹرول|کھیل|ویڈیو
🎰;سلاٹ مشین;گیم
🎲;گیم ڈائی;ڈائس|کھیل
🧩;جِگسا;اشارہ|باہم مربوط|بجھارت، سراغ، آپسی جڑت، معمہ، ٹکڑا|پزل|ٹکڑا
🧸;کھلونا بھالو;روئی سے بھرا|کھلونا|کھیلنے کی چیز|مخملی
🪅;پناٹا;پارٹی|تقریب|ٹافی|جشن|کینڈی|میکسیکن
🪩;آئینہ گیند;پارٹی|چمک|ڈسکو|رقص|شیشے کا گلوب|شیشے کی گیند
🪆;جادوئی گڑیاں;روس|روسی|سحر زدہ گڈی|گڑیا|نیسٹنگ|نیسٹنگ گڑیاں
♠️;حکم کا پتہ;پتہ|تاش|حکم|کالی کا پتہ|کھیل
♥️;پان کا پتہ;پان|پتہ|تاش|کھیل
♦️;اینٹ کا پتہ;اینٹ|پتہ|تاش|کھیل
♣️;چڑیا کا پتہ;پتہ|پھول کا پتہ|تاش|چڑیا|کھیل
♟️;شطرنج کا پیادہ;شطرنج|قابل مصرف|مہرہ
🃏;جوکر;پتہ|تاش|جوکر والا تاش کا پتہ|کھیل
🀄;ماہجونگ ریڈ ڈریگن;سرخ|سرخ ڈریگن|کھیل|ماہجونگ
🎴;جاپانی تاش کا کھیل;تاش|جاپانی|کھیل
🎭;فنونِ لطیفہ;پرفارمنگ آرٹس|تھیٹر|فنون لطیفہ|کارکردگی کا مظاہرہ|ماسک
🖼️;فریم میں جڑی تصویر;تصویر|عجائب گھر|فریم|فریم شدہ تصویر|فن|میوزیم
🎨;آرٹسٹ پیلٹ;پینٹنگ|عجائب گھر|فن
🧵;دھاگہ;چرخی|ڈوری|سلائی|سوئی
🪡;سلائی کی سوئی;ٹانکے|سلائی|سوئی|سینا|کشیدہ کاری
🧶;اونی دھاگہ;بُننا|کروشیا|گولہ
🪢;گانٹھ;الجھن|باندھنا|دوہرا|رسی|گرہ|موڑ
👓;چشمے;آنکھ|جشمے|لباس
🕶️;دھوپ چشمے;آنکھ|آنکھوں کی حفاظت|اشیاء|جشمے|چیز|عینک|لباس
🥽;گاگل;آنکھوں کا تحفظ|آنکھوں کی حفاظت، گوگل، تیراکی، ویلڈنگ، سکوبا، ڈائیو|تیراکی|ویلڈنگ
🥼;لیب میں پہننے والا کوٹ;تجربہ|ڈاکٹر|ڈاکٹر، تجربہ، لیب کوٹ، سائنسدان، سفید کوٹ، ڈاکٹر، جیکٹ، کپڑے|سائنسدان
🦺;حفاظتی واسکٹ;ایمرجنسی|حفاظت|واسکٹ
👔;نیکٹائی;اشیاء|پہرن|جامہ|چیز|سنجیدہ|شرٹ|فارمل|قمیص|لباس|نیک ٹائی
👕;ٹی شرٹ;اشیاء|بازار|چیزیں|خریدی|قمیص|کالر|کالر والا ٹی شرٹ|کالر والی قمیص|لبادہ|لباس
👖;جینز;اشیاء|پاجامہ|پتلون|چیز|زیر جامہ|لباس|نیلی پتلون
🧣;اسکارف;اشیاء|بنڈل|ٹھنڈ|ٹھنڈک|ٹھنڈی|چیز|سر پر لپیٹنے والا رومال|سردی|گردن|گلا|گلوبند رومال
🧤;دستانے;اشیاء|انگلیاں|پنجہ|چیز|دست|دستانہ|ہاتھ|ہاتھ کا موزہ
🧥;کوٹ;اشیاء|ٹھنڈ|ٹھنڈا|جاڑا|جیکٹ|چیز|حفاظتی صدری|سرد|سردی|شیتل
🧦;جرابیں;جراب
👗;لباس;اشیاء|چیز|خریداری|ڈریس|فراک|کپڑے|لبادہ
👘;خواتین کا روایتی جاپانی لباس;لباس
🥻;ساڑھی;کپڑے|لباس
🩱;وَن پیس تیراکی کا لباس;تیراکی کا لباس|سومنگ سوٹ|کپڑا|لیڈز سوم سوٹ|نہانے کا لباس
🩲;جانگھیا;تیراکی کا لباس|زیرِ جامہ|نہانے کا لباس|وَن پیس
🩳;نیکر;پینٹس|تیراکی کا لباس|زیرِ جامہ|سامان|سومنگ پینٹ|سومنگ کچھا|شارٹس|کچھا|نِکر|نہانے کا پینٹ|نہانے کا کچھا|نہانے کا لباس
👙;بکنی;اشیاء|پول|تالاب|تیراکی کا لباس|تیرنا|تیرنے کا لباس|چیز|ساحل|سمندر|لباس
👚;عورتوں کے کپڑے;اشیاء|بازار|بلائوز|جامہ|چیز|چیزیں|خریداری|ڈریس|شاپنگ|عورت|قمیص|کپڑے|کرتہ|کرتی|گلابی قمیص|لباس
🪭;فولڈنگ دستی پنکھا;پنکھا|ٹھنڈک|رقص|شرمیلی|گرمی|لہرانا
👛;پرس;اشیاء|بازار|بٹوا|پیسہ|چیز|خریدی|کپڑے|لباس
👜;ہینڈ بیگ;اشیاء|بٹوا|بیگ|پرس|چیز|خاتون|خریدی|کپڑے|لباس
