😀;დაკრეჭილი სახე;დაკრეჭა|დაკრეჭილი|სახე
🇰🇷;დროშა: სამხრეთ კორეა;დროშა
🇰🇼;დროშა: ქუვეითი;დროშა
🇰🇾;დროშა: კაიმანის კუნძულები;დროშა
🇰🇿;დროშა: ყაზახეთი;დროშა
🇱🇦;დროშა: ლაოსი;დროშა
🇱🇧;დროშა: ლიბანი;დროშა
🇱🇨;დროშა: სენტ-ლუსია;დროშა
🇱🇮;დროშა: ლიხტენშტაინი;დროშა
🇱🇰;დროშა: შრი-ლანკა;დროშა
🇱🇷;დროშა: ლიბერია;დროშა
🇱🇸;დროშა: ლესოთო;დროშა
🇱🇹;დროშა: ლიეტუვა;დროშა
🇱🇺;დროშა: ლუქსემბურგი;დროშა
🇱🇻;დროშა: ლატვია;დროშა
🇱🇾;დროშა: ლიბია;დროშა
🇲🇦;დროშა: მაროკო;დროშა
🇲🇨;დროშა: მონაკო;დროშა
🇲🇩;დროშა: მოლდოვა;დროშა
🇲🇪;დროშა: მონტენეგრო;დროშა
🇲🇫;დროშა: სენ-მარტენი;დროშა
🇲🇬;დროშა: მადაგასკარი;დროშა
🇲🇭;დროშა: მარშალის კუნძულები;დროშა
🇲🇰;დროშა: ჩრდილოეთ მაკედონია;დროშა
🇲🇱;დროშა: მალი;დროშა
🇲🇲;დროშა: მიანმარი (ბირმა);დროშა
🇲🇳;დროშა: მონღოლეთი;დროშა
🇲🇴;დროშა: მაკაოს სპეციალური ადმინისტრაციული რეგიონი, ჩინეთი;დროშა
🇲🇵;დროშა: ჩრდილოეთ მარიანას კუნძულები;დროშა
🇲🇶;დროშა: მარტინიკა;დროშა
🇲🇷;დროშა: მავრიტანია;დროშა
🇲🇸;დროშა: მონსერატი;დროშა
